10:60:AE:22:51:96,Known Company,Random Non-resolvable Private Address,Update,High Security,2315229692040687
77:1E:ED:35:04:B0,Known Company,Random Resolvable Private Address,Update,Medium Security,2315228974002354
55:99:7C:4B:1E:42,Known Company,Random Resolvable Private Address,Update,Medium Security,2315228969700479
4B:A7:35:3C:2C:A6,Known Company,Random Resolvable Private Address,Update,Medium Security,2315228981724021
4F:1F:50:4C:FB:70,Known Company,Random Resolvable Private Address,Update,Medium Security,2315230375934697
65:CE:5A:90:2E:79,Known Company,Random Resolvable Private Address,Update,Medium Security,2315211384187934
EE:C8:11:EC:3A:A9,Known Company,Random Static Address,Update,Medium Security,2315229570729281
53:45:63:18:F5:F5,Known Company,Random Resolvable Private Address,Update,Medium Security,2315220913857774
5B:C2:A8:5F:FC:48,Known Company,Random Resolvable Private Address,Update,Medium Security,2315228164590271
51:CE:1B:14:F2:19,Known Company,Random Resolvable Private Address,Update,Medium Security,2315229588495479
4A:57:F0:D1:7E:78,Known Company,Random Resolvable Private Address,Update,Medium Security,2318086043735171
0C:A8:34:DB:50:DD,Known Company,Random Non-resolvable Private Address,Update,High Security,2318086078037098
42:51:EB:09:10:B5,Known Company,Random Resolvable Private Address,Update,Medium Security,2318085410555952
5B:68:E5:6A:07:FD,Known Company,Random Resolvable Private Address,Update,Medium Security,2318086127157723
53:83:D7:BC:80:C6,Known Company,Random Resolvable Private Address,Update,Medium Security,2317827119878186
5B:07:F6:21:95:50,Known Company,Random Resolvable Private Address,Update,Medium Security,2318085371834233
F2:1B:C4:CE:5C:44,Known Company,Random Static Address,Update,Medium Security,2317940977630278
53:3E:13:82:45:3D,Known Company,Random Resolvable Private Address,Update,Medium Security,2317827176801624
6F:61:DA:46:77:7F,Known Company,Random Resolvable Private Address,Update,Medium Security,2317933037178250
E3:C5:DB:04:2C:E8,Known Company,Random Static Address,Update,Medium Security,2317813334748712
7B:5C:EC:6D:FE:59,Known Company,Random Resolvable Private Address,Update,Medium Security,2318084605334025
0E:C8:0D:19:65:33,Known Company,Random Non-resolvable Private Address,Update,High Security,2317942585222309
C7:E0:6A:2D:FA:28,Known Company,Random Static Address,Update,Medium Security,2317940974636476
CD:F6:4B:EC:84:27,Known Company,Random Static Address,Update,Medium Security,2317824933651312
47:BE:A2:10:28:7C,Known Company,Random Resolvable Private Address,Update,Medium Security,2317919826758359
4B:B2:EB:06:97:29,Known Company,Random Resolvable Private Address,No Update,Medium Security,2318911628550220
14:3F:A6:90:8D:B8,Known Company,Public Address,No Update,Low Security,2317942557181892
75:DE:0E:3C:88:3E,Known Company,Random Resolvable Private Address,Update,Medium Security,2317931565697313
7F:8E:7E:E2:2A:6D,Known Company,Random Resolvable Private Address,Update,Medium Security,2317931576603511
40:04:7A:34:EF:99,Known Company,Random Resolvable Private Address,Update,Medium Security,2318085369760431
F8:49:BA:E8:3F:7A,Known Company,Random Static Address,Update,Medium Security,2318086156401316
47:45:AD:99:58:80,Known Company,Random Resolvable Private Address,Update,Medium Security,2318911606296002
19:60:78:A5:3A:69,Known Company,Random Non-resolvable Private Address,Update,High Security,2318911618379804
73:BD:34:8C:D5:7F,Known Company,Random Resolvable Private Address,Update,Medium Security,2318910933090950
76:D3:4A:3C:E0:58,Known Company,Random Resolvable Private Address,Update,Medium Security,2318904384701317
7D:02:ED:3D:76:78,Known Company,Random Resolvable Private Address,Update,Medium Security,2318911590104439
40:72:B9:F2:25:78,Known Company,Random Resolvable Private Address,Update,Medium Security,2318910948191002
4B:07:95:2A:53:39,Known Company,Random Resolvable Private Address,Update,Medium Security,2318892694539394
EB:E3:E6:A9:29:38,Known Company,Random Static Address,Update,Medium Security,2318902228241995
